Strategy report
Symbol: SPY
Work Time: 12/31/24, 1:00 PM - 5/12/25, 5:00 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;DataExport(SellClose);Sell to Close;-1.0;$590.64;12/31/24, 1:00 PM;$5.74;$4.30;-1.0;
2;DataExport(OHLC|587.225|587.68|584.42|586.34);Buy to Open;1.0;$584.90;12/31/24, 1:00 PM;;$5.74;0.0;
3;DataExport(SellClose);Sell to Close;-1.0;$587.68;12/31/24, 5:00 PM;$3.26;$6.91;-1.0;
4;DataExport(OHLC|586.31|586.74|586.18|586.5101);Buy to Open;1.0;$584.42;12/31/24, 5:00 PM;;$9.00;0.0;
5;DataExport(SellClose);Sell to Close;-1.0;$591.13;1/2/25, 1:00 PM;$10.19;$15.21;-1.0;
6;DataExport(OHLC|582.89|585.379|580.5|584.92);Buy to Open;1.0;$580.94;1/2/25, 1:00 PM;;$19.19;0.0;
7;DataExport(SellClose);Sell to Close;-1.0;$585.38;1/2/25, 5:00 PM;$4.88;$18.82;-1.0;
8;DataExport(OHLC|584.95|586.21|584.11|585.75);Buy to Open;1.0;$580.50;1/2/25, 5:00 PM;;$24.07;0.0;
9;DataExport(SellClose);Sell to Close;-1.0;$591.01;1/3/25, 1:00 PM;$4.81;$23.59;-1.0;
10;DataExport(OHLC|590.69|592.6|590.2|591.49);Buy to Open;1.0;$586.20;1/3/25, 1:00 PM;;$28.88;0.0;
11;DataExport(SellClose);Sell to Close;-1.0;$592.60;1/3/25, 5:00 PM;$2.40;$29.44;-1.0;
12;DataExport(OHLC|591.54|592.07|591.5|592.0401);Buy to Open;1.0;$590.20;1/3/25, 5:00 PM;;$31.28;0.0;
13;DataExport(SellClose);Sell to Close;-1.0;$599.70;1/6/25, 1:00 PM;$5.13;$35.08;-1.0;
14;DataExport(OHLC|597.7609|597.79|593.6|595.9);Buy to Open;1.0;$594.57;1/6/25, 1:00 PM;;$36.41;0.0;
15;DataExport(SellClose);Sell to Close;-1.0;$597.79;1/6/25, 5:00 PM;$4.19;$38.67;-1.0;
16;DataExport(OHLC|595.84|596.21|595.15|595.53);Buy to Open;1.0;$593.60;1/6/25, 5:00 PM;;$40.60;0.0;
17;DataExport(SellClose);Sell to Close;-1.0;$597.75;1/7/25, 1:00 PM;$8.11;$49.63;-1.0;
18;DataExport(OHLC|590.91|592.409|586.78|588.72);Buy to Open;1.0;$589.64;1/7/25, 1:00 PM;;$48.71;0.0;
19;DataExport(SellClose);Sell to Close;-1.0;$592.41;1/7/25, 5:00 PM;$5.63;$50.92;-1.0;
20;DataExport(OHLC|588.76|590.32|588.18|590.2);Buy to Open;1.0;$586.78;1/7/25, 5:00 PM;;$54.34;0.0;
21;DataExport(SellClose);Sell to Close;-1.0;$589.94;1/8/25, 1:00 PM;$4.75;$55.32;-1.0;
22;DataExport(OHLC|586.94|590.5799|586.88|588.96);Buy to Open;1.0;$585.20;1/8/25, 1:00 PM;;$59.08;0.0;
23;DataExport(SellClose);Sell to Close;-1.0;$590.58;1/8/25, 5:00 PM;$3.70;$61.49;-1.0;
24;DataExport(OHLC|588.91|589.14|587.53|588.17);Buy to Open;1.0;$586.88;1/8/25, 5:00 PM;;$62.78;0.0;
25;DataExport(SellClose);Sell to Close;-1.0;$585.96;1/10/25, 1:00 PM;$7.41;$68.71;-1.0;
26;DataExport(OHLC|581.55|584.5|579.7|580.03);Buy to Open;1.0;$578.55;1/10/25, 1:00 PM;;$70.19;0.0;
27;DataExport(SellClose);Sell to Close;-1.0;$584.50;1/10/25, 5:00 PM;$4.80;$74.91;-1.0;
28;DataExport(OHLC|580.03|580.1|579.66|579.7817);Buy to Open;1.0;$579.70;1/10/25, 5:00 PM;;$74.99;0.0;
29;DataExport(SellClose);Sell to Close;-1.0;$579.55;1/13/25, 1:00 PM;$4.20;$72.39;-1.0;
30;DataExport(OHLC|579.46|582.25|578.88|582.15);Buy to Open;1.0;$575.35;1/13/25, 1:00 PM;;$79.19;0.0;
31;DataExport(SellClose);Sell to Close;-1.0;$582.25;1/13/25, 5:00 PM;$3.37;$78.49;-1.0;
32;DataExport(OHLC|582.14|583.93|582.07|582.95);Buy to Open;1.0;$578.88;1/13/25, 5:00 PM;;$82.56;0.0;
33;DataExport(SellClose);Sell to Close;-1.0;$585.00;1/14/25, 1:00 PM;$6.65;$84.49;-1.0;
34;DataExport(OHLC|580.21|584|578.9|583.07);Buy to Open;1.0;$578.35;1/14/25, 1:00 PM;;$89.21;0.0;
35;DataExport(SellClose);Sell to Close;-1.0;$584.00;1/14/25, 5:00 PM;$5.10;$90.42;-1.0;
36;DataExport(OHLC|583.04|583.05|582.41|582.79);Buy to Open;1.0;$578.90;1/14/25, 5:00 PM;;$94.31;0.0;
37;DataExport(SellClose);Sell to Close;-1.0;$592.97;1/15/25, 1:00 PM;$3.77;$94.60;-1.0;
38;DataExport(OHLC|591|593.94|591|592.68);Buy to Open;1.0;$589.20;1/15/25, 1:00 PM;;$98.09;0.0;
39;DataExport(SellClose);Sell to Close;-1.0;$593.94;1/15/25, 5:00 PM;$2.94;$98.92;-1.0;
40;DataExport(OHLC|592.67|594.02|592.52|593.11);Buy to Open;1.0;$591.00;1/15/25, 5:00 PM;;$101.03;0.0;
41;DataExport(SellClose);Sell to Close;-1.0;$594.35;1/16/25, 1:00 PM;$3.03;$104.38;-1.0;
42;DataExport(OHLC|592.97|593.54|590.35|591);Buy to Open;1.0;$591.32;1/16/25, 1:00 PM;;$104.06;0.0;
43;DataExport(SellClose);Sell to Close;-1.0;$593.54;1/16/25, 5:00 PM;$3.19;$105.06;-1.0;
44;DataExport(OHLC|591.03|592.6|590.86|592.54);Buy to Open;1.0;$590.35;1/16/25, 5:00 PM;;$107.25;0.0;
45;DataExport(SellClose);Sell to Close;-1.0;$599.10;1/17/25, 1:00 PM;$3.49;$108.90;-1.0;
46;DataExport(OHLC|598.89|599.36|597|597.45);Buy to Open;1.0;$595.61;1/17/25, 1:00 PM;;$110.74;0.0;
47;DataExport(SellClose);Sell to Close;-1.0;$599.36;1/17/25, 5:00 PM;$2.36;$112.41;-1.0;
48;DataExport(OHLC|597.45|597.7|597.19|597.69);Buy to Open;1.0;$597.00;1/17/25, 5:00 PM;;$113.10;0.0;
49;DataExport(SellClose);Sell to Close;-1.0;$602.49;1/21/25, 1:00 PM;$3.82;$112.19;-1.0;
50;DataExport(OHLC|602.44|603.56|601.67|603.4);Buy to Open;1.0;$598.67;1/21/25, 1:00 PM;;$116.92;0.0;
51;DataExport(SellClose);Sell to Close;-1.0;$603.56;1/21/25, 5:00 PM;$1.89;$116.32;-1.0;
52;DataExport(OHLC|603.43|604.42|602.98|604.16);Buy to Open;1.0;$601.67;1/21/25, 5:00 PM;;$118.81;0.0;
53;DataExport(SellClose);Sell to Close;-1.0;$607.82;1/22/25, 1:00 PM;$2.46;$120.33;-1.0;
54;DataExport(OHLC|607.3|607.6267|605.86|606.3003);Buy to Open;1.0;$605.36;1/22/25, 1:00 PM;;$121.27;0.0;
55;DataExport(SellClose);Sell to Close;-1.0;$607.63;1/22/25, 5:00 PM;$1.77;$123.18;-1.0;
56;DataExport(OHLC|606.3|606.34|605.71|605.71);Buy to Open;1.0;$605.86;1/22/25, 5:00 PM;;$123.03;0.0;
57;DataExport(SellClose);Sell to Close;-1.0;$607.87;1/23/25, 1:00 PM;$2.35;$121.64;-1.0;
58;DataExport(OHLC|607.68|609.75|607.31|609.26);Buy to Open;1.0;$605.52;1/23/25, 1:00 PM;;$125.38;0.0;
59;DataExport(SellClose);Sell to Close;-1.0;$609.75;1/23/25, 5:00 PM;$2.44;$125.85;-1.0;
60;DataExport(OHLC|609.28|609.75|605.79|609.28);Buy to Open;1.0;$607.31;1/23/25, 5:00 PM;;$127.82;0.0;
61;DataExport(SellClose);Sell to Close;-1.0;$610.78;1/24/25, 1:00 PM;$2.26;$130.77;-1.0;
62;DataExport(OHLC|608.6797|608.91|606.8|607.83);Buy to Open;1.0;$608.52;1/24/25, 1:00 PM;;$130.08;0.0;
63;DataExport(SellClose);Sell to Close;-1.0;$608.91;1/24/25, 5:00 PM;$2.11;$131.50;-1.0;
64;DataExport(OHLC|607.82|607.86|607.4|607.49);Buy to Open;1.0;$606.80;1/24/25, 5:00 PM;;$132.19;0.0;
65;DataExport(SellClose);Sell to Close;-1.0;$599.69;1/27/25, 1:00 PM;$5.06;$132.12;-1.0;
66;DataExport(OHLC|596.19|600.36|596.03|599.76);Buy to Open;1.0;$594.63;1/27/25, 1:00 PM;;$137.25;0.0;
67;DataExport(SellClose);Sell to Close;-1.0;$600.36;1/27/25, 5:00 PM;$4.33;$139.25;-1.0;
