Strategy report
Symbol: SPY
Work Time: 4/29/25, 9:40 AM - 5/13/25, 3:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;DataExport(SellClose);Sell to Close;-1.0;$549.80;4/29/25, 9:40 AM;$1.25;($1.19);-1.0;
2;DataExport(OHLC|549.46|551.16|549.24|550.99);Buy to Open;1.0;$548.55;4/29/25, 9:40 AM;;$1.25;0.0;
3;DataExport(SellClose);Sell to Close;-1.0;$551.16;4/29/25, 9:50 AM;$1.92;$1.79;-1.0;
4;DataExport(OHLC|550.97|551.69|550.4214|550.62);Buy to Open;1.0;$549.24;4/29/25, 9:50 AM;;$3.17;0.0;
5;DataExport(SellClose);Sell to Close;-1.0;$551.69;4/29/25, 10:00 AM;$1.27;$2.66;-1.0;
6;DataExport(OHLC|550.68|552.8|549.6901|552.2);Buy to Open;1.0;$550.42;4/29/25, 10:00 AM;;$4.44;0.0;
7;DataExport(SellClose);Sell to Close;-1.0;$552.80;4/29/25, 10:10 AM;$3.11;$6.00;-1.0;
8;DataExport(OHLC|552.18|552.261|550.95|551.2399);Buy to Open;1.0;$549.69;4/29/25, 10:10 AM;;$7.55;0.0;
9;DataExport(SellClose);Sell to Close;-1.0;$552.26;4/29/25, 10:20 AM;$1.31;$9.89;-1.0;
10;DataExport(OHLC|551.19|551.29|549.41|549.92);Buy to Open;1.0;$550.95;4/29/25, 10:20 AM;;$8.86;0.0;
11;DataExport(SellClose);Sell to Close;-1.0;$551.29;4/29/25, 10:30 AM;$1.88;$8.36;-1.0;
12;DataExport(OHLC|549.895|552.02|549.82|551.79);Buy to Open;1.0;$549.41;4/29/25, 10:30 AM;;$10.74;0.0;
13;DataExport(SellClose);Sell to Close;-1.0;$552.02;4/29/25, 10:40 AM;$2.20;$10.80;-1.0;
14;DataExport(OHLC|551.81|552.21|551.24|551.955);Buy to Open;1.0;$549.82;4/29/25, 10:40 AM;;$12.94;0.0;
15;DataExport(SellClose);Sell to Close;-1.0;$552.21;4/29/25, 10:50 AM;$0.97;$12.19;-1.0;
16;DataExport(OHLC|551.96|553.05|551.5101|552.96);Buy to Open;1.0;$551.24;4/29/25, 10:50 AM;;$13.91;0.0;
17;DataExport(SellClose);Sell to Close;-1.0;$553.05;4/29/25, 11:00 AM;$1.54;$14.26;-1.0;
18;DataExport(OHLC|552.97|553.2918|552.14|552.7);Buy to Open;1.0;$551.51;4/29/25, 11:00 AM;;$15.45;0.0;
19;DataExport(SellClose);Sell to Close;-1.0;$553.29;4/29/25, 11:10 AM;$1.15;$17.32;-1.0;
20;DataExport(OHLC|552.69|552.7501|551.38|551.4201);Buy to Open;1.0;$552.14;4/29/25, 11:10 AM;;$16.60;0.0;
21;DataExport(SellClose);Sell to Close;-1.0;$552.75;4/29/25, 11:20 AM;$1.37;$17.11;-1.0;
22;DataExport(OHLC|551.4202|552.55|551.05|552.2398);Buy to Open;1.0;$551.38;4/29/25, 11:20 AM;;$17.97;0.0;
23;DataExport(SellClose);Sell to Close;-1.0;$552.55;4/29/25, 11:30 AM;$1.50;$18.67;-1.0;
24;DataExport(OHLC|552.24|552.36|550.872|551.855);Buy to Open;1.0;$551.05;4/29/25, 11:30 AM;;$19.47;0.0;
25;DataExport(SellClose);Sell to Close;-1.0;$552.36;4/29/25, 11:40 AM;$1.49;$19.46;-1.0;
26;DataExport(OHLC|551.83|552.7636|551.74|552.37);Buy to Open;1.0;$550.87;4/29/25, 11:40 AM;;$20.96;0.0;
27;DataExport(SellClose);Sell to Close;-1.0;$552.76;4/29/25, 11:50 AM;$1.02;$21.99;-1.0;
28;DataExport(OHLC|552.4|552.72|551.55|551.73);Buy to Open;1.0;$551.74;4/29/25, 11:50 AM;;$21.98;0.0;
29;DataExport(SellClose);Sell to Close;-1.0;$552.72;4/29/25, 12:00 PM;$1.17;$21.37;-1.0;
30;DataExport(OHLC|551.7302|553.45|551.71|553.33);Buy to Open;1.0;$551.55;4/29/25, 12:00 PM;;$23.15;0.0;
31;DataExport(SellClose);Sell to Close;-1.0;$553.45;4/29/25, 12:10 PM;$1.74;$24.00;-1.0;
32;DataExport(OHLC|553.34|553.4|552.5296|552.6);Buy to Open;1.0;$551.71;4/29/25, 12:10 PM;;$24.89;0.0;
33;DataExport(SellClose);Sell to Close;-1.0;$553.40;4/29/25, 12:20 PM;$0.87;$25.40;-1.0;
34;DataExport(OHLC|552.6199|552.9697|552.4401|552.89);Buy to Open;1.0;$552.53;4/29/25, 12:20 PM;;$25.76;0.0;
35;DataExport(SellClose);Sell to Close;-1.0;$552.97;4/29/25, 12:30 PM;$0.53;$26.36;-1.0;
36;DataExport(OHLC|552.895|553.1899|552.24|552.37);Buy to Open;1.0;$552.44;4/29/25, 12:30 PM;;$26.29;0.0;
