Strategy report
Symbol: SPY
Work Time: 8/14/24 - 5/13/25


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ExportDataDaily(SellClose);Sell to Close;-1.0;$542.28;8/14/24;$6.00;($1.47);-1.0;
2;ExportDataDaily(OHLC|542.85|544.96|540.12|543.75);Buy to Open;1.0;$536.28;8/14/24;;$6.00;0.0;
3;ExportDataDaily(SellClose);Sell to Close;-1.0;$544.96;8/15/24;$4.84;($2.11);-1.0;
4;ExportDataDaily(OHLC|549.5|553.36|548.88|553.07);Buy to Open;1.0;$540.12;8/15/24;;$10.84;0.0;
5;ExportDataDaily(SellClose);Sell to Close;-1.0;$553.36;8/16/24;$4.48;$9.89;-1.0;
6;ExportDataDaily(OHLC|551.42|555.02|551.26|554.31);Buy to Open;1.0;$548.88;8/16/24;;$15.32;0.0;
7;ExportDataDaily(SellClose);Sell to Close;-1.0;$555.02;8/19/24;$3.76;$10.73;-1.0;
8;ExportDataDaily(OHLC|554.73|559.61|553.86|559.61);Buy to Open;1.0;$551.26;8/19/24;;$19.08;0.0;
9;ExportDataDaily(SellClose);Sell to Close;-1.0;$559.61;8/20/24;$5.75;$19.99;-1.0;
10;ExportDataDaily(OHLC|559.15|560.84|557.325|558.7);Buy to Open;1.0;$553.86;8/20/24;;$24.83;0.0;
11;ExportDataDaily(SellClose);Sell to Close;-1.0;$560.84;8/21/24;$3.51;$25.05;-1.0;
12;ExportDataDaily(OHLC|559.77|562.11|554.73|560.62);Buy to Open;1.0;$557.33;8/21/24;;$28.35;0.0;
13;ExportDataDaily(SellClose);Sell to Close;-1.0;$562.11;8/22/24;$7.38;$34.24;-1.0;
14;ExportDataDaily(OHLC|562.56|563.18|554.98|556.22);Buy to Open;1.0;$554.73;8/22/24;;$35.73;0.0;
15;ExportDataDaily(SellClose);Sell to Close;-1.0;$563.18;8/23/24;$8.20;$36.77;-1.0;
16;ExportDataDaily(OHLC|559.53|563.09|557.29|562.13);Buy to Open;1.0;$554.98;8/23/24;;$43.92;0.0;
17;ExportDataDaily(SellClose);Sell to Close;-1.0;$563.09;8/26/24;$5.80;$46.23;-1.0;
18;ExportDataDaily(OHLC|563.18|563.91|559.05|560.79);Buy to Open;1.0;$557.29;8/26/24;;$49.73;0.0;
19;ExportDataDaily(SellClose);Sell to Close;-1.0;$563.91;8/27/24;$4.86;$52.08;-1.0;
20;ExportDataDaily(OHLC|559.49|562.06|558.32|561.56);Buy to Open;1.0;$559.05;8/27/24;;$54.59;0.0;
21;ExportDataDaily(SellClose);Sell to Close;-1.0;$562.06;8/28/24;$3.74;$58.35;-1.0;
